Entity,Code,Year,Tobacco smoking
Guyana,GUY,2010,420
Guyana,GUY,2016,435
Haiti,HTI,1990,4657
Haiti,HTI,1995,4746
Haiti,HTI,2000,4594
Haiti,HTI,2005,4524
Haiti,HTI,2006,4489
Haiti,HTI,2010,4661
Haiti,HTI,2016,4828
High SDI,,1990,1407300
High SDI,,1995,1410094
High SDI,,2000,1392884
High SDI,,2005,1376398
High SDI,,2006,1368601
High SDI,,2010,1357396
High SDI,,2016,1407671
High-income,,1990,1364118
High-income,,1995,1370265
High-income,,2000,1364909
High-income,,2005,1352975
High-income,,2006,1343852
High-income,,2010,1336309
High-income,,2016,1393492
High-middle SDI,,1990,1138146
High-middle SDI,,1995,1370281
High-middle SDI,,2000,1373490
High-middle SDI,,2005,1392540
High-middle SDI,,2006,1337164
High-middle SDI,,2010,1271783
High-middle SDI,,2016,1229953
Honduras,HND,1990,1276
Honduras,HND,1995,1486
Honduras,HND,2000,1646
Honduras,HND,2005,1865
Honduras,HND,2006,1881
Honduras,HND,2010,1951
Honduras,HND,2016,2156
Hungary,HUN,1990,27654
Hungary,HUN,1995,27779
Hungary,HUN,2000,25925
Hungary,HUN,2005,26249
Hungary,HUN,2006,26385
Hungary,HUN,2010,26083
Hungary,HUN,2016,24702
Iceland,ISL,1990,339
Iceland,ISL,1995,344
Iceland,ISL,2000,327
Iceland,ISL,2005,319
Iceland,ISL,2006,321
Iceland,ISL,2010,323
Iceland,ISL,2016,356
India,IND,1990,472597
India,IND,1995,516654
India,IND,2000,570151
India,IND,2005,622382
India,IND,2006,634592
India,IND,2010,700842
India,IND,2016,719991
Indonesia,IDN,1990,106178
Indonesia,IDN,1995,118067
Indonesia,IDN,2000,131298
Indonesia,IDN,2005,155508
Indonesia,IDN,2006,160281
Indonesia,IDN,2010,176129
Indonesia,IDN,2016,193876
Iran,IRN,1990,16888
Iran,IRN,1995,20463
Iran,IRN,2000,24363
Iran,IRN,2005,29174
Iran,IRN,2006,29730
Iran,IRN,2010,31091
Iran,IRN,2016,33014
Iraq,IRQ,1990,10801
Iraq,IRQ,1995,12551
Iraq,IRQ,2000,14498
Iraq,IRQ,2005,16254
Iraq,IRQ,2006,16540
Iraq,IRQ,2010,17211
Iraq,IRQ,2016,18740
Ireland,IRL,1990,7312
Ireland,IRL,1995,7142
Ireland,IRL,2000,6763
