Entity,Code,Year,70+ years old (deaths),15-49 years old (deaths),50-69 years old (deaths)
Bahrain,BHR,2010,108.329365327,42.4934652722,104.689297404
Bahrain,BHR,2016,118.942701004,45.2312549114,122.612700973
Bangladesh,BGD,1990,25337.7880656,14903.8101747,42413.9930878
Bangladesh,BGD,1995,29048.0830195,14683.2890448,43082.6276804
Bangladesh,BGD,2000,34255.7085346,15377.7980011,41015.3006089
Bangladesh,BGD,2005,34981.9195767,17681.4682948,37272.3977458
Bangladesh,BGD,2006,37363.6099544,18558.6238054,37836.1956145
Bangladesh,BGD,2010,46996.3380536,20894.0751957,40641.9626379
Bangladesh,BGD,2016,67564.8803118,24590.4545097,53461.7877672
Barbados,BRB,1990,37.91767435,10.020459356,23.6270408457
Barbados,BRB,1995,40.8317485422,11.2641155005,24.9867661135
Barbados,BRB,2000,35.1161236661,10.0645918786,22.6447079442
Barbados,BRB,2005,31.2677575469,10.4243742126,22.777278748
Barbados,BRB,2006,31.1826587977,10.3999548531,23.1717582918
