,Entity,Year,smokeCount
996,North Africa and Middle East,2000,206092
997,North Africa and Middle East,2005,223218
998,North Africa and Middle East,2006,225927
999,North Africa and Middle East,2010,240949
1000,North Africa and Middle East,2016,271160
1001,North America,1990,467382
1002,North America,1995,485056
1003,North America,2000,499305
1004,North America,2005,502596
1005,North America,2006,496593
1006,North America,2010,483661
1007,North America,2016,525774
1008,North Korea,1990,29746
1009,North Korea,1995,36969
1010,North Korea,2000,45161
1011,North Korea,2005,53022
1012,North Korea,2006,54294
1013,North Korea,2010,59773
1014,North Korea,2016,66160
1015,Northern Ireland,1990,3545
1016,Northern Ireland,1995,3195
1017,Northern Ireland,2000,2925
1018,Northern Ireland,2005,2726
1019,Northern Ireland,2006,2714
