Entity,Code,Year,70+ years old (deaths),5-14 years old (deaths),15-49 years old (deaths),50-69 years old (deaths),Under-5s (deaths)
Mozambique,MOZ,1995,254.709912817,47.0062402531,126.456730699,248.723951254,1150.04208135
Mozambique,MOZ,2000,287.092315563,46.7611441378,127.692098402,260.933175102,1166.79357039
Mozambique,MOZ,2005,274.771443192,44.5249300148,104.006966532,235.415621822,991.696974942
Mozambique,MOZ,2006,274.927432167,46.3971429011,101.144817184,233.700429055,991.822000287
Mozambique,MOZ,2010,311.323457271,49.2882662112,103.789864248,245.690721945,921.794925363
Mozambique,MOZ,2016,390.448862221,46.9380022204,119.124909544,288.512974136,686.247184082
Myanmar,MMR,1990,1338.29080819,195.630247248,613.129626988,1098.26286759,6625.50486971
Myanmar,MMR,1995,1449.16532477,162.184115955,639.654043889,1112.99450385,5327.54342193
Myanmar,MMR,2000,1547.46260133,123.903097724,652.601274656,1076.37554921,4283.64669152
Myanmar,MMR,2005,1632.55205225,94.6104296692,584.043813243,1135.53048169,3043.90241103
Myanmar,MMR,2006,1634.4852831,88.2219085247,569.170971323,1153.23754366,2729.48953671
Myanmar,MMR,2010,1684.55039589,68.8161700559,529.868826996,1284.16757373,1641.47723269
Myanmar,MMR,2016,1621.68809963,43.5894243766,450.078251173,1332.18016913,656.079509456
Namibia,NAM,1990,47.913763231,2.98900883805,16.5150739422,46.5948001034,40.853436227
Namibia,NAM,1995,55.1899402379,2.61168644012,19.6452518676,51.8321156746,34.0888300092
Namibia,NAM,2000,63.0929184276,2.78146396463,24.4791368535,57.8813343462,36.3945729174
Namibia,NAM,2005,58.84053792,2.60075495391,19.3517341086,50.086365451,33.542623015
Namibia,NAM,2006,57.8444706614,2.55149173574,18.4046969768,48.2834144615,31.8238474605
Namibia,NAM,2010,51.6487887616,2.40050777968,14.765459925,40.700703211,26.4811657907
Namibia,NAM,2016,54.0293736145,1.76769808762,14.0633623142,43.3201202367,15.1147690988
Nepal,NPL,1990,369.77192626,41.1943807492,119.364957974,264.646642611,2025.11383907
Nepal,NPL,1995,428.943300408,38.5248058248,122.941784675,280.401531749,1543.4518762
Nepal,NPL,2000,484.283008212,34.1198778247,113.731201989,273.202352333,1134.26347016
Nepal,NPL,2005,599.637599129,28.766912416,123.505140862,334.856414105,756.351522788
Nepal,NPL,2006,621.429888963,27.5652593776,129.090793032,355.764149937,709.542817387
Nepal,NPL,2010,773.501889515,21.8708979712,156.828914149,527.944486211,556.697196256
Nepal,NPL,2016,961.425690131,13.1994732684,189.565368867,685.577467779,317.488625043
Netherlands,NLD,1990,1104.87680936,1.44056498137,60.0521579182,365.594418007,6.79696307446
Netherlands,NLD,1995,1171.0114449,1.48110920067,68.1430232573,362.02737722,5.11720763943
Netherlands,NLD,2000,1050.99583383,1.50415433897,62.8701707217,324.823174567,4.98371762589
Netherlands,NLD,2005,838.907935452,1.14040043545,49.5832595355,252.576192392,3.96103263408
Netherlands,NLD,2006,802.753084013,1.07070114358,46.6626203028,242.083318734,3.60778643714
Netherlands,NLD,2010,713.178265995,0.803144053808,39.8500956814,222.581760435,2.84049632825
Netherlands,NLD,2016,760.798959475,0.670414584736,34.1731471266,227.529037131,1.95138712165
New Zealand,NZL,1990,145.2575474,0.282299130949,17.4063350541,82.2730105255,4.79101301079
New Zealand,NZL,1995,142.843816331,0.181644118578,17.0565550485,70.4542577488,2.88255325594
New Zealand,NZL,2000,137.384681571,0.119987146091,16.2309009713,61.2194245811,1.54908165921
New Zealand,NZL,2005,134.564780995,0.0938224799747,16.0745960075,57.9767891326,1.48181286642
New Zealand,NZL,2006,135.778936428,0.08807985853,15.8803490291,58.9124978772,1.60250544592
New Zealand,NZL,2010,127.740964535,0.0714769301408,14.3369189229,56.3357613832,1.74802164217
New Zealand,NZL,2016,135.734886519,0.0695821164953,12.2382334171,59.5366802731,1.27145682173
