Entity,Code,Year,Smoking (deaths),Secondhand smoke (deaths)
Denmark,DNK,1990,14593.813585,534.001052722
Denmark,DNK,1995,14939.4385417,507.594369505
Denmark,DNK,2000,13989.7118365,396.30873683
Denmark,DNK,2005,13235.1037634,318.130539654
Denmark,DNK,2006,13024.5910367,306.013112351
Denmark,DNK,2010,12198.9897658,274.950927197
Denmark,DNK,2016,11167.0953041,275.859044544
Djibouti,DJI,1990,189.921687291,146.816942093
Djibouti,DJI,1995,223.45929911,162.846234335
Djibouti,DJI,2000,254.598144233,161.007349527
Djibouti,DJI,2005,295.684668448,142.419572822
Djibouti,DJI,2006,308.165896479,139.133697973
Djibouti,DJI,2010,384.05960314,131.091691984
Djibouti,DJI,2016,409.890771429,105.101165858
Dominica,DMA,1990,24.8740867016,5.84657228286
Dominica,DMA,1995,29.1319800925,6.78326310761
Dominica,DMA,2000,25.3102762872,5.72821013663
Dominica,DMA,2005,26.1675048278,5.52174613992
Dominica,DMA,2006,26.4699579081,5.60912952668
Dominica,DMA,2010,28.6124353618,5.74636241603
Dominica,DMA,2016,33.4697770351,6.15478329352
Dominican Republic,DOM,1990,3158.21931991,421.245828499
Dominican Republic,DOM,1995,3819.54516424,447.222992064
Dominican Republic,DOM,2000,4306.54265569,422.824080606
Dominican Republic,DOM,2005,4392.76330926,458.246261236
Dominican Republic,DOM,2006,4431.06727462,461.898806141
Dominican Republic,DOM,2010,4398.10321505,468.541625344
Dominican Republic,DOM,2016,4678.66215415,498.953037783
East Asia,,1990,1450407.08284,290444.874133
East Asia,,1995,1652182.78783,284844.860326
East Asia,,2000,1836429.0426,264554.874683
East Asia,,2005,1906127.66661,251104.296121
East Asia,,2006,1843586.44958,244116.770536
East Asia,,2010,1872482.58371,239816.888608
East Asia,,2016,1855764.94687,240364.484814
Eastern Europe,,1990,413331.559603,55641.9855626
Eastern Europe,,1995,563567.900512,67928.8340579
Eastern Europe,,2000,524107.485035,64476.8440739
